interval,total_load_kwh,total_pv_kwh,battery_charge_kwh,battery_discharge_kwh,avg_soc_pct,p2p_traded_kwh,mcp_price_zar_per_kwh,curtailment_kwh,grid_import_kwh,feeder_overload_flag
76,15.97248939699112,0.18534167955376418,0.0,7.877893423310507,69.77185242994877,0.0,0.0,0.0,7.9092542941268515,0
77,15.734600329015231,0.11919431213492765,0.0,7.775477824329226,64.58820054706263,0.0,0.0,0.0,7.839928192551079,0
78,14.875361193011859,0.19473989670838063,0.0,7.255409750958087,59.75126071309058,0.0,0.0,0.0,7.425211545345391,0
79,14.208934148876923,0.15650088461696696,0.0,6.952572411966823,55.11621243844602,0.0,0.0,0.0,7.099860852293132,0
80,13.041617250090942,0.06540244144529025,0.0,6.3092947454713775,50.910015941465105,0.0,0.0,0.0,6.666920063174273,0
81,11.507804015694909,0.1190858327168419,0.0,5.613414748169464,47.167739442685445,0.0,0.0,0.0,5.775303434808604,0
82,10.139718318398298,0.16549765525115473,0.0,4.895526992907768,43.90405478074695,0.0,0.0,0.0,5.078693670239375,0
83,8.812775739407948,0.16597542024084813,0.0,4.152002471069131,41.13605313336752,0.0,0.0,0.0,4.494797848097972,0
84,7.0578562327325765,0.13026875367817203,0.0,3.2897068165269765,38.94291525568287,0.0,0.0,0.0,3.6378806625274285,0
85,6.239095366331758,0.08331908447803729,0.0,3.025784810903434,36.92572538174724,0.0,0.0,0.0,3.129991470950286,0
